ACTIVITY_ID,LEAD_ID,CUSTOM_ACTIVITY_ID,TRIAGE_CALL_OUTCOME,STRATEGY_CALL_OUTCOME,OFFER_PRESENTED,CONTRACT_VALUE,CASH_COLLECTED,SETTER_USER_ID,CLOSER_USER_ID,PROGRAM,OBJECTIONS_FACED
acti_JpRRn1bgv2UvJITTd2ti0DUXqsgSdZdMz5DEYJ23NjX,lead_lBPbdCQMtvbzIfeTKb5mYxsV95Uyi36vmU0CDdQUFDg,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_0DSyt17VNLDrzBV9vKDUcWssldS4sj59vU0G4kBeUbX,lead_ltwB0c47gHN8BzzdTzrPo7OUDZPFQya0iS0OJbL2xNP,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_wKD5cuWztCrAKW7LUiZZWK2zLzcVxD6zOWBQJ5hyEep,lead_K91D7r1ipTLkuReG4JNfzGQHrtYfJ8EbRBD2AcqcusE,actitype_2VcSfZQX6FeIL8kkxy48C2,,1. Follow Up,Yes,30000,,user_2sEPpRtRkKOnlEe5F3ucgiB3CuhUvmwtFFIn13moHh0,user_VJVXAYizTx7UwbnRvjqUZBGJFvZ8T497IwIKyoYMiWo,Gold,"[""Trust""]"
acti_livfGhLOStjHq0xlns7HjGc8tpotMXs6QfsBMqC5fxC,lead_K91D7r1ipTLkuReG4JNfzGQHrtYfJ8EbRBD2AcqcusE,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_u9DRA1lt54zwV4bOO309z1QWAzhFbvHlstthnod2ojY,lead_K91D7r1ipTLkuReG4JNfzGQHrtYfJ8EbRBD2AcqcusE,actitype_2bBGxk2qNSjDtfe4wTCDzr,,,,,,,,,
acti_JihLnMmsyRtOyuVDZADI5fxsT0040TgRxLmkfT8sFva,lead_K91D7r1ipTLkuReG4JNfzGQHrtYfJ8EbRBD2AcqcusE,actitype_5ltasxnH1UU2j1on4op8qi,,,,,,,user_VJVXAYizTx7UwbnRvjqUZBGJFvZ8T497IwIKyoYMiWo,,
acti_tsJP8WLo1xjeDFSBBnZwtIyYqQC1L93U6fzPJfzBzY1,lead_K91D7r1ipTLkuReG4JNfzGQHrtYfJ8EbRBD2AcqcusE,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_GbO4uM0t7fvC1sNZcXeGyTfpAVu3vsVlrHrsY1bjTmC,lead_K91D7r1ipTLkuReG4JNfzGQHrtYfJ8EbRBD2AcqcusE,actitype_4tEv1xumZEk9vYYs7WxYy7,,,,,,,,,
acti_ofyx4iB3vdJYEzMHeaWP35Hhgb1U1rPZxir9mqnfyfQ,lead_CjtwVk2Cyo89IVURMHHeVxHK3scms9sZCqh7oY3Sm7R,actitype_38341SWOKRkRHHAqWEqSJu,6. No Show,,,,,user_nDycH3d5wn1pmMAhkC8dq4O7E2zExikgamMxXh8FztV,,,
acti_d9Iovqsraj4hU1apWGaDBZXidSepxSmDbSuO8WMYovk,lead_fJ4gBdKwAsSzKZ4YdpkrcEbwi8bx0EbwmA03KOmykdq,actitype_6IrDujYE2WKg9QCFJdpXJk,,,Yes,,,user_fgkwC2PT4UGqc1MsWfEioweuVdBQGJHK0VdczqaFuTu,user_soMOELShUwInBclF7jO5Rn4PlcUILMrLo9arAgwngCk,,
